show,description
& Juliet,"The show '& Juliet' ran from 2022-10-30 to 2024-05-12. It had an average weekly revenue of $1,109,869.95 and a total revenue of $89,899,465.55."
Aladdin,"The show 'Aladdin' ran from 2014-03-02 to 2024-05-12. It had an average weekly revenue of $1,414,769.96 and a total revenue of $635,231,711.37."
Appropriate,"The show 'Appropriate' ran from 2023-12-03 to 2024-05-12. It had an average weekly revenue of $665,841.67 and a total revenue of $13,982,674.98."
Back To The Future,"The show 'Back To The Future' ran from 2023-07-02 to 2024-05-12. It had an average weekly revenue of $1,194,886.41 and a total revenue of $54,964,774.86."
A Beautiful Noise The Neil Diamond Musical,"The show 'A Beautiful Noise The Neil Diamond Musical' ran from 2022-11-06 to 2024-05-12. It had an average weekly revenue of $897,123.98 and a total revenue of $71,769,918.18."
The Book of Mormon,"The show 'The Book of Mormon' ran from 2011-02-27 to 2024-05-12. It had an average weekly revenue of $1,309,915.86 and a total revenue of $787,259,431.13."
Cabaret,"The show 'Cabaret' ran from 1987-10-11 to 2024-05-12. It had an average weekly revenue of $452,320.63 and a total revenue of $180,475,933.00."
Chicago,"The show 'Chicago' ran from 1996-10-27 to 2024-05-12. It had an average weekly revenue of $570,020.89 and a total revenue of $771,238,258.02."
An Enemy of the People,"The show 'An Enemy of the People' ran from 2012-09-09 to 2024-05-12. It had an average weekly revenue of $609,198.99 and a total revenue of $13,402,377.86."
The Great Gatsby,"The show 'The Great Gatsby' ran from 2024-03-31 to 2024-05-12. It had an average weekly revenue of $970,517.18 and a total revenue of $6,793,620.25."
Hadestown,"The show 'Hadestown' ran from 2019-03-24 to 2024-05-12. It had an average weekly revenue of $940,528.88 and a total revenue of $178,700,487.71."
Hamilton,"The show 'Hamilton' ran from 2015-07-19 to 2024-05-12. It had an average weekly revenue of $2,448,125.57 and a total revenue of $930,287,716.00."
Harry Potter and the Cursed Child,"The show 'Harry Potter and the Cursed Child' ran from 2018-03-25 to 2024-05-12. It had an average weekly revenue of $1,518,641.11 and a total revenue of $352,324,738.25."
The Heart of Rock and Roll,"The show 'The Heart of Rock and Roll' ran from 2024-03-31 to 2024-05-12. It had an average weekly revenue of $266,298.74 and a total revenue of $1,864,091.18."
Hell's Kitchen,"The show 'Hell's Kitchen' ran from 2024-03-31 to 2024-05-12. It had an average weekly revenue of $1,059,529.50 and a total revenue of $7,416,706.53."
Illinoise,"The show 'Illinoise' ran from 2024-04-28 to 2024-05-12. It had an average weekly revenue of $697,539.00 and a total revenue of $2,092,617.00."
