"SHOW","THIS.WEEK.GROSS...POTENTIAL.GROSS","DIFF..","AVG.TICKET...TOP.TICKET","SEATS.SOLD...SEATS.IN.THEATRE","PERFS.PREVIEWS","X..CAP","DIFF...CAP","WEEK.DATE"
"& Juliet",966936.5,142750.6,133.37,7250,8,88.33,7.6,"2024-05-12"
"Aladdin",1274359.6,140138.2,97.42,13081,8,94.68,0.48,"2024-05-12"
"Appropriate",702686,43422.8,118.84,5913,8,90.91,2.66,"2024-05-12"
"Back To The Future",872782.3,26959.45,93.63,9322,8,78.84,-0.21,"2024-05-12"
"A Beautiful Noise The Neil Diamond Musical",929935.3,172063.5,149.97,6201,8,67.23,12.67,"2024-05-12"
"The Book of Mormon",881824.09,64249.73,108.96,8093,8,94.9,4.73,"2024-05-12"
"Cabaret",2009348.5,89059.5,235.01,8550,8,99.88,-0.17,"2024-05-12"
"Chicago",710555.81,70851.06,103.75,6849,8,79.27,4.98,"2024-05-12"
"An Enemy of the People",1060185.2,11898.8,155.02,6839,8,103.25,0.05,"2024-05-12"
"The Great Gatsby",1180502.35,130718.5,109.44,10787,8,90.8,7.26,"2024-05-12"
"Hadestown",810067.95,75797.1,112.81,7181,8,97.78,3.77,"2024-05-12"
"Hamilton",1723901.25,-8952,162.69,10596,8,100.04,5.04,"2024-05-12"
"Harry Potter and the Cursed Child",990023.6,-35707.5,94.08,10523,8,81.1,-1.01,"2024-05-12"
"The Heart of Rock and Roll",319029.58,31973.48,54.21,5885,8,69.79,-0.75,"2024-05-12"
"Hell's Kitchen",1503808.78,233289.35,127.72,11774,8,101.01,1.35,"2024-05-12"
"Illinoise",679736.95,-4656.2,89.89,7562,6,94.27,2.8,"2024-05-12"
"Lempicka",419472.25,144423.55,57.34,7316,8,87.34,3.84,"2024-05-12"
"The Lion King",2114486.55,78528.25,162.52,13011,8,95.89,2.44,"2024-05-12"
"Mary Jane",497852,30805,100.25,4966,8,96.54,-0.89,"2024-05-12"
"Merrily We Roll Along",1518186,82614,196.45,7728,8,100,0,"2024-05-12"
"MJ The Musical",1609709.5,153114.75,150.82,10673,8,96.19,4.42,"2024-05-12"
"Mother Play",603566.75,51641.5,133.38,4525,8,97.35,1.95,"2024-05-12"
"Moulin Rouge! The Musical",1528630.92,122771.65,146.9,10406,8,100.06,0.92,"2024-05-12"
"The Notebook",786487.5,113057.5,110.77,7100,8,87.27,4.56,"2024-05-12"
